CATEGORY,METRIC,EXACT_VALUE,METHOD,DATE
TOTAL FILES,All files (excl node_modules .next logs),2978,PowerShell Get-ChildItem,2026-06-25
TOTAL SIZE,Repository size MB,69.16,PowerShell Measure-Object Length,2026-06-25
,,,
FILE TYPES,TypeScript (.ts),1613,PowerShell Get-ChildItem -Filter *.ts,2026-06-25
FILE TYPES,TypeScript React (.tsx),390,PowerShell Get-ChildItem -Filter *.tsx,2026-06-25
FILE TYPES,TS+TSX total,2003,Sum,2026-06-25
FILE TYPES,JavaScript (.js),13,PowerShell Get-ChildItem -Filter *.js,2026-06-25
FILE TYPES,JavaScript React (.jsx),0,PowerShell Get-ChildItem -Filter *.jsx,2026-06-25
FILE TYPES,SQL migrations (.sql),293,PowerShell Get-ChildItem -Filter *.sql,2026-06-25
FILE TYPES,JSON files (.json),104,PowerShell Get-ChildItem -Filter *.json,2026-06-25
FILE TYPES,Markdown (.md),419,PowerShell Get-ChildItem -Filter *.md,2026-06-25
FILE TYPES,MDX (.mdx),0,PowerShell Get-ChildItem -Filter *.mdx,2026-06-25
FILE TYPES,CSV files (.csv),9,PowerShell Get-ChildItem -Filter *.csv,2026-06-25
FILE TYPES,Excel (.xlsx),18,PowerShell Get-ChildItem -Filter *.xlsx,2026-06-25
FILE TYPES,CSS (.css),2,PowerShell Get-ChildItem -Filter *.css,2026-06-25
FILE TYPES,Shell scripts (.sh),3,PowerShell Get-ChildItem -Filter *.sh,2026-06-25
FILE TYPES,TOML config (.toml),2,PowerShell Get-ChildItem -Filter *.toml,2026-06-25
FILE TYPES,YAML (.yaml),6,PowerShell Get-ChildItem -Filter *.yaml,2026-06-25
FILE TYPES,YML (.yml),5,PowerShell Get-ChildItem -Filter *.yml,2026-06-25
FILE TYPES,Images (.jpg),19,PowerShell Get-ChildItem -Filter *.jpg,2026-06-25
FILE TYPES,SVG (.svg),8,PowerShell Get-ChildItem -Filter *.svg,2026-06-25
FILE TYPES,Env files (.env),1,PowerShell Get-ChildItem -Filter .env,2026-06-25
,,,
LINES OF CODE,app/ directory,190351,PowerShell wc-equivalent TS/TSX,2026-06-25
LINES OF CODE,lib/ directory,227160,PowerShell wc-equivalent TS/TSX,2026-06-25
LINES OF CODE,components/ root,443,PowerShell wc-equivalent,2026-06-25
LINES OF CODE,__tests__/,15939,PowerShell wc-equivalent,2026-06-25
LINES OF CODE,tests/,3860,PowerShell wc-equivalent,2026-06-25
LINES OF CODE,TOTAL TS/TSX LOC,~437753,Sum of above,2026-06-25
,,,
STRUCTURAL COUNTS,API route files (route.ts in /api/),542,PowerShell Get-ChildItem route.ts,2026-06-25
STRUCTURAL COUNTS,Frontend pages (page.tsx),155,PowerShell Get-ChildItem page.tsx,2026-06-25
STRUCTURAL COUNTS,Layout files (layout.tsx),11,PowerShell Get-ChildItem layout.tsx,2026-06-25
STRUCTURAL COUNTS,Database migrations,278,Supabase migrations/ count,2026-06-25
STRUCTURAL COUNTS,SQL files total,293,Includes manual + migrations,2026-06-25
STRUCTURAL COUNTS,n8n workflow JSON files,21,n8n-workflows/ count,2026-06-25
STRUCTURAL COUNTS,Blog articles (page.tsx in /blog/),55,app/blog/ subdirectories,2026-06-25
STRUCTURAL COUNTS,Control-tower pages,30,app/control-tower/ pages,2026-06-25
STRUCTURAL COUNTS,Dashboard pages,10,app/dashboard/ pages,2026-06-25
STRUCTURAL COUNTS,Portal pages,10,app/portal/ pages,2026-06-25
STRUCTURAL COUNTS,Test files (.spec.ts),30,PowerShell Get-ChildItem,2026-06-25
STRUCTURAL COUNTS,Test files (.test.ts),73,PowerShell Get-ChildItem,2026-06-25
STRUCTURAL COUNTS,Test files total,103,Sum,2026-06-25
STRUCTURAL COUNTS,Components root tsx files,~5,components/ only,2026-06-25
STRUCTURAL COUNTS,Lib subdirectories,~100,lib/ directory list,2026-06-25
,,,
DEPENDENCIES,Runtime dependencies,29,package.json dependencies,2026-06-25
