CATEGORY,DIMENSION,ITEM,EXACT_VALUE,STATUS,OPERATIONAL,REVENUE_RELEVANT,UNIQUE,MISSING,REBUILD_COST,NOTES
,,,,,,,,,,,
EVERYTHING BUILT,,,,,,,,,,
PLATFORM,Code,Total files,2978,EXISTS,YES - deployed,FOUNDATION,YES - full stack,NO,€936K+,Confirmed 2026-06-25
PLATFORM,Code,TypeScript files (ts+tsx),2003,EXISTS,YES,FOUNDATION,YES,NO,Included above,
PLATFORM,Code,Lines of code (TS/TSX),437753,EXISTS,YES,FOUNDATION,YES - volume,NO,Included above,
PLATFORM,Code,API routes,542,EXISTS,YES - all deployed,HIGH,YES,NO,€252K senior,Exact from PowerShell
PLATFORM,Code,Frontend pages,155,EXISTS,YES - all live,HIGH,YES,NO,€160K senior,
PLATFORM,Code,Blog articles,55,EXISTS,YES - indexed,HIGH,YES,NO,€11K,55 page.tsx files
PLATFORM,Code,Languages,6,EXISTS,YES - all routes live,HIGH,YES,NO,€24K,en pt fr de ar zh
PLATFORM,Code,Security (OWASP),87/100,EXISTS,YES,HIGH,YES,NO,€40K,7 security waves
PLATFORM,Code,Tests,2222 passing,EXISTS,YES - all pass,MEDIUM,YES,NO,€24K,103 test files
PLATFORM,Code,TypeScript errors,0,EXISTS,YES,HIGH,YES,NO,€0,Confirmed 2026-06-25
,,,,,,,,,,,
AI,Sofia AI agent,7 roles 8 tools,EXISTS,BUILT,0 real users,CRITICAL,YES - Portugal first?,WA activation,€32K,Unique AI agent for PT market
AI,Sofia AI agent,Web widget,LIVE,OPERATIONAL,0 conversations,HIGH,YES,NO,Included,
AI,Sofia AI agent,WhatsApp channel,CODED,NOT ACTIVE,0 messages,HIGH,YES,Token,€0 more,Needs WHATSAPP_ACCESS_TOKEN
AI,AVM Valuation,Anthropic-powered,LIVE,OPERATIONAL,Carlos only,HIGH,YES,Real data,Included,
AI,Juridico AI,10 legal areas,LIVE,OPERATIONAL,Carlos only,MEDIUM,YES,NO,Included,
AI,Computer Vision,Photo scoring,LIVE,OPERATIONAL,Carlos only,MEDIUM,YES,NO,Included,
AI,Semantic Search,pgvector,LIVE,OPERATIONAL,0 real searches,MEDIUM,YES,NO,Included,
,,,,,,,,,,,
DATA,Lead Engine,Total leads,18042,EXISTS,YES - queryable,CRITICAL,YES,Email enrichment,$80K data,6 months to rebuild
DATA,Lead Engine,With email,117,EXISTS,YES,CRITICAL,YES,Apollo enrichment,Included,Immediately contactable
