CATEGORY,ROUTE,FILE,PURPOSE,AUTH_METHOD,DB_TABLES,EXTERNAL_SERVICES,STATUS,TESTED,REAL_OUTPUT
AUTH,/api/auth/send,app/api/auth/send/route.ts,Magic link send,Public + Upstash RL,used_magic_tokens,Resend,LIVE,YES,YES - emails send
AUTH,/api/auth/verify,app/api/auth/verify/route.ts,Magic link verify,Token hash,used_magic_tokens,None,LIVE,YES,YES - creates sessions
AUTH,/api/auth/[...nextauth],app/api/auth/[...nextauth]/route.ts,NextAuth OAuth,NextAuth,users (Supabase),Google,LIVE,YES,YES - Google login works
AUTH,/api/auth/portal,app/api/auth/portal/route.ts,Portal auth check,NextAuth,profiles,None,LIVE,YES,YES
AUTH,/api/auth/(other 12),app/api/auth/*,Auth utilities,NextAuth/Token,Various,None,LIVE,Partial,YES
,,,,,,,,,
SOFIA AI,/api/sofia/chat,app/api/sofia/chat/route.ts,Main AI chat,NextAuth,sofia_conversations,Anthropic,LIVE,YES,0 real conversations
SOFIA AI,/api/sofia/[role],app/api/sofia/[role]/route.ts,Role-specific,NextAuth,sofia_conversations,Anthropic,LIVE,YES,0 real usage
SOFIA AI,/api/sofia/(other 3),app/api/sofia/*,Sofia utilities,NextAuth,Various,Anthropic,LIVE,YES,0 real usage
,,,,,,,,,
PROPERTIES,/api/properties/public,app/api/properties/public/route.ts,Public listing,Public,properties,None,LIVE FIXED 1760efe,YES,YES - 55 demo
PROPERTIES,/api/properties,app/api/properties/route.ts,Portal CRUD,Bearer,properties,None,LIVE FIXED 1760efe,YES,YES - 55 demo
PROPERTIES,/api/properties/[id],app/api/properties/[id]/route.ts,Property detail,Public+Bearer,properties,None,LIVE,YES,YES
PROPERTIES,/api/properties/new,app/api/properties/new/route.ts,Add property,Bearer,properties,None,LIVE,YES,0 uses
PROPERTIES,/api/properties/(other 3),app/api/properties/*,Property ops,Bearer,properties,None,LIVE,Partial,Minimal
,,,,,,,,,
AVM,/api/avm,app/api/avm/route.ts,Property valuation,NextAuth + Upstash RL,properties,Anthropic,LIVE,YES,Carlos only
,,,,,,,,,
DEALS,/api/deals,app/api/deals/route.ts,Deal CRUD,NextAuth,deals,None,LIVE,YES,8 demo deals
