ASSET TYPE,COUNT,REAL_VS_DEMO,STATUS,SELLABLE_TODAY,NOTES
,,,,,
PROPERTIES DATABASE,,,,,
Total properties in DB,~55,ALL DEMO/SEEDED,Via /imoveis,NO - demo only,API fixed 1760efe shows 55 demo
Real signed mandates,0,N/A,None,NO,No mandate signed ever
Off-market contacts (developers),14,REAL leads,In offmarket_leads table,POSSIBLE,Call these developers
Properties actively for sale,0,N/A,None,NO,
,,,,,
DEMO PROPERTIES (characteristics),,,,,
Zones covered,Lisboa Cascais Algarve Porto Sintra,DEMO,Seeded data,NO,
Price range (demo),€350K - €5M,DEMO,Seeded pricing,NO,
Types,T0 T1 T2 T3 T4 T5 Moradia Quinta Comercial,DEMO,Seeded types,NO,
Coordinates,Real GPS,DEMO,Real locations fake prices,NO,
Photos,AI-generated / placeholder,DEMO,Not real property photos,NO,
Descriptions,AI-generated,DEMO,Not real mandate text,NO,
,,,,,
OFF-MARKET PIPELINE,,,,,
Total developer contacts (offmarket_leads),14,REAL,In DB,POSSIBLE via call,Path to first mandate
Average score,Unknown,REAL,Not queried,N/A,
With email,Unknown,REAL,Not queried,N/A,
Contacted so far,0,N/A,None,N/A,No calls made
Mandate signed,0,N/A,None,NO,
,,,,,
MANDATE INTAKE SYSTEM,,,,,
Vender page (/vender),BUILT,N/A,Live,YES - takes leads,Seller intake form
Seller form → CRM,BUILT,N/A,Live,YES - creates contact,API route exists
Co-agency page (/off-market),BUILT,N/A,Live,YES - marketing,Off-market pitch
Developer pitch deck capability,BUILT,N/A,Via deal packs,YES - AI generates,
,,,,,
HOW MANY SELLABLE ASSETS EXIST TODAY?,,,,,
ANSWER: ZERO — 0 real mandates,,,,,
,,,,,
PATH TO FIRST SELLABLE ASSET,,,,,
Step 1: Carlos calls 3 developers from offmarket_leads,Day 1-2,3 calls,0 cost,First co-agency conversation,
Step 2: Developer interested in co-agency,Day 3-7,1 meeting,0 cost,Legal framework needed,
Step 3: Co-agency agreement signed,Day 5-14,Legal,€0-€500 lawyer,AMI 22506 already registered,
Step 4: Get property details + photos,Day 7-10,1 visit,Travel cost,Real property data,
Step 5: Add to /dashboard/properties/new,Day 10,15 minutes,0 cost,Property appears on /imoveis,
Step 6: Matches capital_profiles automatically,Day 10,0 minutes,0 cost,AI matching in cron,
Step 7: First real buyer sees real property,Day 11+,Organic/outreach,0 cost,First showing possible,
,,,,,
MARKET CONTEXT (2026),,,,,
Portugal avg price,€3076/m²,Market data,,+17.6% YoY,
Lisboa,€5000/m²,Market data,,,
Cascais,€4713/m²,Market data,,,
Algarve,€3941/m²,Market data,,,
Porto,€3643/m²,Market data,,,
Madeira,€3760/m²,Market data,,,
Açores,€1952/m²,Market data,,,
Transactions 2026,169812 expected,Market data,,,
Avg days on market,210 days,Market data,,,
,,,,,
INVENTORY COMPETITIVE GAP,,,,,
Agency Group (real),0 properties,,vs,
Compass US,100K+ listings,,vs,
CBRE Portugal,500+ listings,,vs,
JLL Portugal,200+ listings,,vs,
Idealista Portugal,300K+ listings,,vs,
Remax Portugal,50K+ listings,,vs,
CONCLUSION: Inventory is the #1 competitive disadvantage,,,,,
