SECTION,ROUTE,AUTH,LANGUAGE,PURPOSE,DATA_SOURCE,STATUS,TRAFFIC_CAPABLE,COMMERCIAL_VALUE
HOMEPAGE,/,PUBLIC,all,Main landing + lead capture,Static + Sofia AI,LIVE,YES - entry point for all buyers,HIGH
,,,,,,,,,
PROPERTIES,/imoveis,PUBLIC,pt,Property listings,DB properties table (55 demo),LIVE - API fixed 1760efe,YES,HIGH - main conversion page
PROPERTIES,/imoveis/[id],PUBLIC,pt,Property detail,DB properties table,LIVE,YES,HIGH
PROPERTIES,/imoveis/premium/[id],PUBLIC,pt,Premium property detail,DB premium properties,LIVE,YES,HIGH
PROPERTIES,/off-market,PUBLIC,pt,Off-market exclusives,offmarket_leads table,LIVE,YES,HIGH
PROPERTIES,/off-market-portugal,PUBLIC,pt,Off-market Portugal SEO,Static + DB,LIVE,YES,HIGH
PROPERTIES,/collection,PUBLIC,pt,Property collections,property_collections table,LIVE,YES,MEDIUM
,,,,,,,,,
INVESTMENT,/investir,PUBLIC,pt,Invest in Portugal page,Static content,LIVE,YES,HIGH
INVESTMENT,/invest-in-portugal-real-estate,PUBLIC,en,EN investment guide,Static content,LIVE,YES,HIGH
INVESTMENT,/investor-intelligence,REQUIRED,pt,Institutional buyer intel,capital_profiles DB,LIVE,YES,HIGH
INVESTMENT,/investor-intelligence/(sub),REQUIRED,pt,Investor sub-pages (2),capital_profiles DB,LIVE,YES,HIGH
,,,,,,,,,
SELL,/vender,PUBLIC,pt,Seller intake,Form → CRM,LIVE,YES,HIGH
SELL,/vender-imovel-portugal,PUBLIC,pt,Sell property guide SEO,Static,LIVE,YES,HIGH
SELL,/vender-imovel-portugal-2026,PUBLIC,pt,2026 seller guide (blog),Static,LIVE,YES,MEDIUM
,,,,,,,,,
AVM,/avm,PUBLIC,pt,Automated valuation tool,Anthropic AI,LIVE,YES,HIGH - lead gen
,,,,,,,,,
DASHBOARD,/dashboard,REQUIRED,pt,Portal home,DB KPIs,LIVE,CARLOS ONLY,OPERATIONAL
DASHBOARD,/dashboard/executive,REQUIRED,pt,Executive KPI dashboard,kpi_snapshots table,LIVE,CARLOS ONLY,OPERATIONAL
DASHBOARD,/dashboard/properties,REQUIRED,pt,Property management,properties table,LIVE,CARLOS ONLY,OPERATIONAL
DASHBOARD,/dashboard/properties/new,REQUIRED,pt,Add new property,Form → DB,LIVE,CARLOS ONLY,OPERATIONAL
DASHBOARD,/dashboard/simulations,REQUIRED,pt,Commission calculator,Math + DB,LIVE,CARLOS ONLY,OPERATIONAL
DASHBOARD,/dashboard/(other 5),REQUIRED,pt,Dashboard sub-pages,Various,LIVE,CARLOS ONLY,OPERATIONAL
,,,,,,,,,
PORTAL,/portal/crm/contacts,REQUIRED,pt,CRM contacts (28),contacts table,LIVE,CARLOS ONLY,OPERATIONAL
PORTAL,/portal/crm/deals,REQUIRED,pt,CRM deals (8 demo),deals table,LIVE,CARLOS ONLY,OPERATIONAL
PORTAL,/portal/analytics,REQUIRED,pt,Analytics dashboard,analytics_events,LIVE,CARLOS ONLY,OPERATIONAL
PORTAL,/portal/lead-engine,REQUIRED,pt,Lead management,leads table 18042,LIVE,CARLOS ONLY,HIGH VALUE
PORTAL,/portal/capital-network,REQUIRED,pt,Investor management,capital_profiles 7342,LIVE,CARLOS ONLY,HIGH VALUE
PORTAL,/portal/(other 5),REQUIRED,pt,Portal sub-pages,Various,LIVE,CARLOS ONLY,OPERATIONAL
,,,,,,,,,
CONTROL TOWER,/control-tower (30 pages),REQUIRED,pt,Admin operations,All DB tables,LIVE,CARLOS ONLY,OPERATIONAL
,,,,,,,,,
EXPERIENCE,/experience (5 pages),PUBLIC,pt,User experience pages,Static/DB,LIVE,YES,MEDIUM
,,,,,,,,,
BLOG EN,/blog/buying-property-portugal-2026,PUBLIC,en,Buyer guide Portugal,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/nhr-portugal-2026-guide,PUBLIC,en,NHR tax guide,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/golden-visa-portugal-alternatives-2026,PUBLIC,en,Golden visa guide,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/golden-coast-portugal-estoril,PUBLIC,en,Estoril guide,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/luxury-villas-algarve-2026,PUBLIC,en,Algarve luxury,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/luxury-property-lisbon,PUBLIC,en,Lisbon luxury,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/lisbon-vs-porto-investment-2026,PUBLIC,en,Market comparison,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/algarve-golden-triangle-2026,PUBLIC,en,Algarve market,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/buying-property-portugal-guide-2026,PUBLIC,en,Buying guide 2026,Static,LIVE,YES - SEO,HIGH
BLOG EN,/blog/buy-property-cascais,PUBLIC,en,Cascais guide,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/luxury-apartments-porto-foz,PUBLIC,en,Porto Foz,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/madeira-island-property-investment,PUBLIC,en,Madeira guide,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/sintra-luxury-property-2026,PUBLIC,en,Sintra guide,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/comporta-portugal-luxury-market,PUBLIC,en,Comporta guide,Static,LIVE,YES - SEO,MEDIUM
BLOG EN,/blog/property-investment-portugal-returns,PUBLIC,en,Investment returns,Static,LIVE,YES - SEO,HIGH
